,DENSITY,POP,City,State,abrev
15599,7192.5178666,11471,Yeadon,Pennsylvania,PA
9267,1100.3637015,10825,Yazoo City,Mississippi,MS
15598,998.94612827,608,Yatesville,Pennsylvania,PA
2991,401.9500911,347,Yatesville,Georgia,GA
4489,1333.3861864,657,Yates City,Illinois,IL
6627,508.66848396,1346,Yates Center,Kansas,KS
18560,3140.922845,1147,Yarrow Point,Washington,WA
15597,2686.7695291,2509,Yardley,Pennsylvania,PA
17761,224.78787692,414,Yantis,Texas,TX
16199,1715.720849,14700,Yankton,South Dakota,SD
2453,67.138035353,519,Yankeetown,Florida,FL
13758,133.76489497,75,Yankee Lake,Ohio,OH
12476,361.00631114,1994,Yanceyville,North Carolina,NC
1953,1927.3123766,464,Yampa,Colorado,CO
14594,2771.4594776,1172,Yamhill,Oregon,OR
14353,1314.473709,1196,Yale,Oklahoma,OK
5998,878.55890796,240,Yale,Iowa,IA
8113,1371.3327361,1883,Yale,Michigan,MI
4488,144.30645982,83,Yale,Illinois,IL
16198,812.58846333,118,Yale,South Dakota,SD
18559,3382.0204065,93884,Yakima,Washington,WA
12475,1018.1734074,2899,Yadkinville,North Carolina,NC
18558,3252.0777726,1799,Yacolt,Washington,WA
14593,849.3042763,773,Yachats,Oregon,OR
13757,2057.7824429,26783,Xenia,Ohio,OH
4487,738.12692027,364,Xenia,Illinois,IL
18281,548.05623089,7941,Wytheville,Virginia,VA
15596,2328.5012367,10499,Wyomissing,Pennsylvania,PA
5997,1022.9848706,522,Wyoming,Iowa,IA
11924,627.93531971,420,Wyoming,New York,NY
15595,2099.9000054,3018,Wyoming,Pennsylvania,PA
8965,385.92743957,7971,Wyoming,Minnesota,MN
4486,1515.79363,1295,Wyoming,Illinois,IL
2041,1475.2786178,1536,Wyoming,Delaware,DE
13756,2981.5148573,8576,Wyoming,Ohio,OH
8112,3078.4750346,75820,Wyoming,Michigan,MI
19394,513.94378991,737,Wyocena,Wisconsin,WI
10865,986.35484869,181,Wynot,Nebraska,NE
14352,812.97249336,434,Wynona,Oklahoma,OK
14351,1504.0742982,2207,Wynnewood,Oklahoma,OK
5055,1524.0425418,243,Wynnedale,Indiana,IN
1199,884.20979812,7871,Wynne,Arkansas,AR
12832,473.15229521,407,Wyndmere,North Dakota,ND
10864,716.91990124,1342,Wymore,Nebraska,NE
17760,2338.7263651,51585,Wylie,Texas,TX
8964,465.27834707,434,Wykoff,Minnesota,MN
19393,253.24915861,143,Wyeville,Wisconsin,WI
10209,245.77029899,288,Wyatt,Missouri,MO
4485,932.68820949,931,Wyanet,Illinois,IL
14350,680.04920374,330,Wyandotte,Oklahoma,OK
8111,4711.5973112,24935,Wyandotte,Michigan,MI
15594,768.65852133,558,Wyalusing,Pennsylvania,PA
10208,331.39310095,213,Wyaconda,Missouri,MO
11923,927.81902653,1159,Wurtsboro,New York,NY
7045,576.69395185,1019,Wurtland,Kentucky,KY
12474,1817.9685571,2542,Wrightsville Beach,North Carolina,NC
15593,3501.5445618,2295,Wrightsville,Pennsylvania,PA
2990,1030.834895,3632,Wrightsville,Georgia,GA
1198,1007.0055378,2131,Wrightsville,Arkansas,AR
19392,806.20871415,3452,Wrightstown,Wisconsin,WI
11223,420.46242359,778,Wrightstown,New Jersey,NJ
10207,657.23080185,3937,Wright City,Missouri,MO
14349,854.66846068,736,Wright City,Oklahoma,OK
19493,607.50795535,1733,Wright,Wyoming,WY
8963,86.097236454,126,Wright,Minnesota,MN
8962,278.37619823,415,Wrenshall,Minnesota,MN
2989,627.75046602,1967,Wrens,Georgia,GA
13755,604.13120234,187,Wren,Ohio,OH
1952,678.95861575,2334,Wray,Colorado,CO
609,0.9792662974,2503,Wrangell and,Alaska,AK
15592,194.83315667,66,Worthville,Pennsylvania,PA
7044,732.02869908,187,Worthville,Kentucky,KY
2452,396.32690799,380,Worthington Springs,Florida,FL
7043,6082.0383142,1558,Worthington Hills,Kentucky,KY
5054,1737.3616725,1404,Worthington,Indiana,IN
5996,903.71811565,398,Worthington,Iowa,IA
13754,2691.8193904,14725,Worthington,Ohio,OH
15591,868.16215111,597,Worthington,Pennsylvania,PA
7042,1334.551207,1516,Worthington,Kentucky,KY
18794,262.43984956,153,Worthington,West Virginia,WV
10206,702.45735596,76,Worthington,Missouri,MO
8961,1704.9719105,13271,Worthington,Minnesota,MN
16197,1755.8769342,985,Worthing,South Dakota,SD
17759,507.21929071,1008,Wortham,Texas,TX
4484,4459.3896335,10563,Worth,Illinois,IL
10205,229.71701033,58,Worth,Missouri,MO
15590,3865.6762618,3073,Wormleysburg,Pennsylvania,PA
3194,1345.2796246,261,Worley,Idaho,ID
19492,1106.3927352,5075,Worland,Wyoming,WY
4483,1474.4298633,1048,Worden,Illinois,IL
7583,4975.3460916,185877,Worcester,Massachusetts,MA
1197,378.32858142,1086,Wooster,Arkansas,AR
13753,1580.7364201,26560,Wooster,Ohio,OH
16196,859.5366597,674,Woonsocket,South Dakota,SD
15616,5370.2426261,41603,Woonsocket,Rhode Island,RI
5995,151.87795656,161,Woolstock,Iowa,IA
2988,201.74064723,165,Woolsey,Georgia,GA
10204,964.52707006,58,Wooldridge,Missouri,MO
12831,225.32656191,48,Woodworth,North Dakota,ND
7346,126.62863871,1125,Woodworth,Louisiana,LA
17758,1367.6229055,8967,Woodway,Texas,TX
18557,1184.4756732,1387,Woodway,Washington,WA
5994,389.51589256,1420,Woodward,Iowa,IA
14348,929.75031788,12162,Woodward,Oklahoma,OK
9266,905.35633473,938,Woodville,Mississippi,MS
458,108.42324922,718,Woodville,Alabama,AL
17757,775.81665374,2489,Woodville,Texas,TX
13752,1508.6328914,2033,Woodville,Ohio,OH
19391,753.95224498,1354,Woodville,Wisconsin,WI
2987,74.054990892,362,Woodville,Georgia,GA
11222,2188.7276194,3447,Woodstown,New Jersey,NJ
6626,613.33960252,131,Woodston,Kansas,KS
18280,1376.1888816,5245,Woodstock,Virginia,VA
457,226.12558158,1600,Woodstock,Alabama,AL
8960,216.9322913,117,Woodstock,Minnesota,MN
4482,1867.8967879,25268,Woodstock,Illinois,IL
2986,2669.3882641,32234,Woodstock,Georgia,GA
18053,862.63821969,860,Woodstock,Vermont,VT
13751,1026.500425,290,Woodstock,Ohio,OH
10203,5300.4746805,4046,Woodson Terrace,Missouri,MO
4481,1245.20853,490,Woodson,Illinois,IL
17756,372.77074059,242,Woodson,Texas,TX
1677,469.69724302,5510,Woodside,California,CA
2040,1309.5226226,185,Woodside,Delaware,DE
13750,1109.7175695,2236,Woodsfield,Ohio,OH
11922,2288.1465203,779,Woodsburgh,New York,NY
17755,1886.0470441,1427,Woodsboro,Texas,TX
7529,1752.7568391,1240,Woodsboro,Maryland,MD
18011,2961.5839037,11328,Woods Cross,Utah,UT
15885,1105.6705986,4325,Woodruff,South Carolina,SC
18010,293.63215915,212,Woodruff,Utah,UT
4479,3473.0174244,33566,Woodridge,Illinois,IL
11921,481.00339514,782,Woodridge,New York,NY
1984,5625.98004,1541,Woodmont,Connecticut,CT
13749,2576.2212243,861,Woodmere,Ohio,OH
19390,511.05602188,128,Woodman,Wisconsin,WI
11220,13425.723558,2921,Woodlynne,New Jersey,NJ
17754,2512.2849234,212,Woodloch,Texas,TX
7041,4020.6244105,974,Woodlawn Park,Kentucky,KY
14347,1260.2561697,156,Woodlawn Park,Oklahoma,OK
5053,674.5706329,78,Woodlawn Heights,Indiana,IN
7040,4048.4775547,238,Woodlawn,Kentucky,KY
13748,1299.7473562,3341,Woodlawn,Ohio,OH
4478,798.93021601,678,Woodlawn,Illinois,IL
11219,4291.9330624,12614,Woodland Park,New Jersey,NJ
1951,1178.147289,7785,Woodland Park,Colorado,CO
16543,280.62134259,357,Woodland Mills,Tennessee,TN
18009,618.95949147,1567,Woodland Hills,Utah,UT
7039,3519.9529201,742,Woodland Hills,Kentucky,KY
18556,1545.1027,6358,Woodland,Washington,WA
2985,459.76758908,361,Woodland,Georgia,GA
8959,834.79586041,481,Woodland,Minnesota,MN
1676,3954.5430133,60531,Woodland,California,CA
456,116.78110366,182,Woodland,Alabama,AL
8110,517.71315259,439,Woodland,Michigan,MI
4477,670.4823851,306,Woodland,Illinois,IL
9265,216.82331578,123,Woodland,Mississippi,MS
12473,568.89904284,712,Woodland,North Carolina,NC
1675,3138.055068,7640,Woodlake,California,CA
18555,2279.9592638,12815,Woodinville,Washington,WA
4476,882.89700574,779,Woodhull,Illinois,IL
8109,1954.6146918,12484,Woodhaven,Michigan,MI
15884,217.73753678,171,Woodford,South Carolina,SC
12472,730.78757576,6582,Woodfin,North Carolina,NC
17753,1595.4755321,1733,Woodcreek,Texas,TX
15589,224.91776135,150,Woodcock,Pennsylvania,PA
11218,1736.3266472,5862,Woodcliff Lake,New Jersey,NJ
11217,2386.4866501,2974,Woodbury Heights,New Jersey,NJ
7038,638.39980281,91,Woodbury,Kentucky,KY
2984,439.47571322,895,Woodbury,Georgia,GA
11920,308.28804558,10972,Woodbury,New York,NY
11216,4877.8391197,9852,Woodbury,New Jersey,NJ
16542,1451.9089303,2850,Woodbury,Tennessee,TN
15588,2082.651068,266,Woodbury,Pennsylvania,PA
8957,2043.4944593,71306,Woodbury,Minnesota,MN
5052,1732.6169259,1617,Woodburn,Indiana,IN
14591,4860.4985853,26078,Woodburn,Oregon,OR
5993,311.20614575,198,Woodburn,Iowa,IA
7037,879.2318946,376,Woodburn,Kentucky,KY
17752,697.08762731,1383,Woodbranch,Texas,TX
2983,536.46101912,1347,Woodbine,Georgia,GA
11215,303.76629544,2436,Woodbine,New Jersey,NJ
5992,1096.52759,1402,Woodbine,Iowa,IA
6625,1051.162148,167,Woodbine,Kansas,KS
11221,8225.0549715,9159,Wood-Ridge,New Jersey,NJ
14592,4241.5502512,3997,Wood Village,Oregon,OR
10863,1698.6781179,1349,Wood River,Nebraska,NE
4480,1447.4796344,10163,Wood River,Illinois,IL
10862,201.78195129,64,Wood Lake,Nebraska,NE
8958,538.6656435,406,Wood Lake,Minnesota,MN
10202,300.42397713,685,Wood Heights,Missouri,MO
4475,2900.8610345,13717,Wood Dale,Illinois,IL
16195,256.00155011,63,Wood,South Dakota,SD
19389,708.43494384,791,Wonewoc,Wisconsin,WI
4474,812.3558184,3884,Wonder Lake,Illinois,IL
18793,584.28115876,242,Womelsdorf,West Virginia,WV
15587,3341.1768958,2895,Womelsdorf,Pennsylvania,PA
8956,377.87643688,132,Wolverton,Minnesota,MN
8108,3776.7374415,4768,Wolverine Lake,Michigan,MI
8107,241.19949829,237,Wolverine,Michigan,MI
16194,181.47185851,411,Wolsey,South Dakota,SD
12830,188.99909428,34,Wolford,North Dakota,ND
17751,1718.4130962,5214,Wolfforth,Texas,TX
17750,1310.5253277,1472,Wolfe City,Texas,TX
10338,3194.3530816,2743,Wolf Point,Montana,MT
8955,179.26450784,56,Wolf Lake,Minnesota,MN
5051,1017.4730536,1033,Wolcottville,Indiana,IN
5050,1641.4762288,973,Wolcott,Indiana,IN
11919,827.16069233,1611,Wolcott,New York,NY
10861,370.26192553,254,Wolbach,Nebraska,NE
5991,491.90398551,208,Woden,Iowa,IA
7582,3194.5101127,40397,Woburn,Massachusetts,MA
17749,142.17007059,255,Wixon Valley,Texas,TX
8106,1531.6393276,14010,Wixom,Michigan,MI
19388,543.1694177,984,Wittenberg,Wisconsin,WI
4473,609.19636731,853,Witt,Illinois,IL
19387,571.90333395,476,Withee,Wisconsin,WI
14346,543.58704951,1067,Wister,Oklahoma,OK
10860,1055.1313725,1171,Wisner,Nebraska,NE
7345,1146.595306,913,Wisner,Louisiana,LA
12829,647.22581308,929,Wishek,North Dakota,ND
18279,976.85316206,2959,Wise,Virginia,VA
19386,1277.5393372,17696,Wisconsin Rapids,Wisconsin,WI
19385,381.97474727,2995,Wisconsin Dells,Wisconsin,WI
5990,337.22078554,107,Wiota,Iowa,IA
12471,900.02843518,729,Winton,North Carolina,NC
8954,1313.8889748,168,Winton,Minnesota,MN
7581,9388.625176,18688,Winthrop Town,Massachusetts,MA
4472,1409.1680795,6673,Winthrop Harbor,Illinois,IL
1196,174.9626845,182,Winthrop,Arkansas,AR
18554,485.05172528,451,Winthrop,Washington,WA
8953,1159.4411636,1367,Winthrop,Minnesota,MN
5989,1013.099623,854,Winthrop,Iowa,IA
2982,470.6870261,1233,Winterville,Georgia,GA
12470,2126.5324473,9845,Winterville,North Carolina,NC
13747,1181.9434896,3693,Wintersville,Ohio,OH
15586,260.54912945,629,Winterstown,Pennsylvania,PA
5988,1148.0696849,5318,Winterset,Iowa,IA
1674,2482.5987382,7286,Winters,California,CA
17748,1044.2339512,2460,Winters,Texas,TX
2451,2512.5095855,37321,Winter Springs,Florida,FL
1950,63.555332929,1051,Winter Park,Colorado,CO
2450,3551.7684499,31059,Winter Park,Florida,FL
2449,1342.6466261,43020,Winter Haven,Florida,FL
2448,2783.176187,45266,Winter Garden,Florida,FL
19384,377.52607999,299,Winter,Wisconsin,WI
9264,582.76669732,172,Winstonville,Mississippi,MS
12469,1858.3496999,246328,Winston-Salem,North Carolina,NC
10201,820.80637237,253,Winston,Missouri,MO
14590,2079.2116431,5499,Winston,Oregon,OR
8952,1192.9090993,2257,Winsted,Minnesota,MN
698,767.97302248,9427,Winslow,Arizona,AZ
5049,1299.0474067,823,Winslow,Indiana,IN
10859,698.87280023,101,Winslow,Nebraska,NE
1195,237.01679655,427,Winslow,Arkansas,AR
4471,683.31423649,313,Winslow,Illinois,IL
10858,1563.2296481,408,Winside,Nebraska,NE
18052,5116.4365112,7337,Winooski,Vermont,VT
5048,1781.8698646,4926,Winona Lake,Indiana,IN
17747,392.79810568,605,Winona,Texas,TX
8951,1419.6189734,26813,Winona,Minnesota,MN
10200,340.13461647,1295,Winona,Missouri,MO
6624,617.97250018,161,Winona,Kansas,KS
9263,306.75419899,4146,Winona,Mississippi,MS
7344,1152.40919,4607,Winnsboro,Louisiana,LA
17746,878.49619916,3287,Winnsboro,Texas,TX
15883,992.55321514,3204,Winnsboro,South Carolina,SC
7343,1197.824154,4362,Winnfield,Louisiana,LA
10337,191.48646584,195,Winnett,Montana,MT
10857,230.83457067,67,Winnetoon,Nebraska,NE
4470,3253.3072767,12385,Winnetka,Illinois,IL
16193,1244.2661587,2852,Winner,South Dakota,SD
10885,792.71893805,7763,Winnemucca,Nevada,NV
19383,1705.3649951,2491,Winneconne,Wisconsin,WI
10856,3927.4462794,796,Winnebago,Nebraska,NE
8950,574.56451884,1351,Winnebago,Minnesota,MN
4469,1537.4945235,2978,Winnebago,Illinois,IL
18553,1074.5848031,1387,Winlock,Washington,WA
697,457.72141161,352,Winkelman,Arizona,AZ
17745,846.9520692,988,Wink,Texas,TX
10336,374.22219601,196,Winifred,Montana,MT
7036,652.24035646,636,Wingo,Kentucky,KY
8949,496.58418072,224,Winger,Minnesota,MN
12468,2221.6698252,4420,Wingate,North Carolina,NC
5047,1212.4433324,261,Wingate,Indiana,IN
12828,238.16629975,152,Wing,North Dakota,ND
10199,2313.2836826,1482,Winfield,Missouri,MO
5046,472.64800568,5849,Winfield,Indiana,IN
6623,1081.8576745,12057,Winfield,Kansas,KS
4468,3172.8664959,9690,Winfield,Illinois,IL
18792,984.28904298,2370,Winfield,West Virginia,WV
17744,689.52455049,536,Winfield,Texas,TX
455,252.65696349,4477,Winfield,Alabama,AL
5987,1044.2693193,1096,Winfield,Iowa,IA
16541,153.11546655,1002,Winfield,Tennessee,TN
12467,262.83945391,600,Winfall,North Carolina,NC
7035,2689.0143486,2475,Windy Hills,Kentucky,KY
17743,153.76641645,385,Windthorst,Texas,TX
10198,369.09077163,331,Windsor Place,Missouri,MO
5986,3425.6445412,4898,Windsor Heights,Iowa,IA
18791,2693.9463397,385,Windsor Heights,West Virginia,WV
18278,684.3769024,2746,Windsor,Virginia,VA
4466,1786.3640394,782,Windsor,Illinois,IL
15882,191.85289648,147,Windsor,South Carolina,SC
1949,1178.3209265,28967,Windsor,Colorado,CO
12466,1185.8012059,3339,Windsor,North Carolina,NC
19382,266.72701437,7436,Windsor,Wisconsin,WI
1673,3830.8918539,27849,Windsor,California,CA
10197,1149.741651,2781,Windsor,Missouri,MO
4467,1831.6129454,1154,Windsor,Illinois,IL
15585,2700.6698763,1481,Windsor,Pennsylvania,PA
11918,790.43081315,869,Windsor,New York,NY
6622,625.72091882,126,Windom,Kansas,KS
8948,1091.6362452,4420,Windom,Minnesota,MN
17742,370.60038157,204,Windom,Texas,TX
13746,1075.0116565,2211,Windham,Ohio,OH
5045,2286.7288976,671,Windfall City,Indiana,IN
2447,1833.0012983,3509,Windermere,Florida,FL
2981,1247.7684305,17029,Winder,Georgia,GA
17741,2726.0926054,5874,Windcrest,Texas,TX
15583,1951.8144536,3860,Windber,Pennsylvania,PA
19381,1346.3595117,1704,Wind Point,Wisconsin,WI
15584,2045.330879,2738,Wind Gap,Pennsylvania,PA
3193,2405.6322823,411,Winchester,Idaho,ID
6621,1511.9853789,528,Winchester,Kansas,KS
18277,3057.5784153,28108,Winchester,Virginia,VA
4465,1291.8123141,1458,Winchester,Illinois,IL
7034,2032.2183005,18577,Winchester,Kentucky,KY
16540,812.77810994,8715,Winchester,Tennessee,TN
10196,6151.3652613,1519,Winchester,Missouri,MO
14345,94.324835084,509,Winchester,Oklahoma,OK
13745,384.55751756,1006,Winchester,Ohio,OH
5044,1363.8202648,4706,Winchester,Indiana,IN
1194,323.75805187,161,Winchester,Arkansas,AR
5043,1702.6994282,2318,Winamac,Indiana,IN
12827,308.82746868,192,Wimbledon,North Dakota,ND
17740,347.50393068,3112,Wimberley,Texas,TX
2446,6496.8245013,12797,Wilton Manors,Florida,FL
1193,275.04692877,352,Wilton,Arkansas,AR
8947,114.88518879,303,Wilton,Minnesota,MN
454,715.41984813,685,Wilton,Alabama,AL
5985,1378.2055925,2836,Wilton,Iowa,IA
19380,563.48717913,502,Wilton,Wisconsin,WI
12826,1282.0405357,713,Wilton,North Dakota,ND
453,191.91669985,2014,Wilsonville,Alabama,AL
4464,585.02752064,559,Wilsonville,Illinois,IL
10855,329.61985364,88,Wilsonville,Nebraska,NE
14589,3379.1912231,24582,Wilsonville,Oregon,OR
12465,619.66970525,2689,Wilson's Mills,North Carolina,NC
18552,225.63782912,216,Wilson Creek,Washington,WA
10195,1475.8523987,111,Wilson City,Missouri,MO
11917,1497.9773039,1218,Wilson,New York,NY
14344,299.73835573,1700,Wilson,Oklahoma,OK
17739,749.30135496,484,Wilson,Texas,TX
13744,286.82553472,117,Wilson,Ohio,OH
12464,1587.4858848,49329,Wilson,North Carolina,NC
6620,1229.9201926,736,Wilson,Kansas,KS
7342,204.01080489,553,Wilson,Louisiana,LA
1192,791.67495127,829,Wilson,Arkansas,AR
19379,109.04195647,186,Wilson,Wisconsin,WI
15582,6777.3134849,7830,Wilson,Pennsylvania,PA
6619,522.09661384,141,Wilsey,Kansas,KS
13743,2115.8802108,295,Wilmot,Ohio,OH
16192,951.235777,507,Wilmot,South Dakota,SD
1191,283.1895154,501,Wilmot,Arkansas,AR
6618,271.05746916,48,Wilmore,Kansas,KS
7033,1582.8902695,6423,Wilmore,Kentucky,KY
15581,624.10439156,207,Wilmore,Pennsylvania,PA
8946,478.39725828,332,Wilmont,Minnesota,MN
12463,2372.9601111,122607,Wilmington,North Carolina,NC
4462,171.66672395,135,Wilmington,Illinois,IL
2039,6477.8365814,70635,Wilmington,Delaware,DE
4463,407.69501167,5742,Wilmington,Illinois,IL
13742,1138.8022363,12401,Wilmington,Ohio,OH
4461,5046.073043,27265,Wilmette,Illinois,IL
15580,4930.4717399,2114,Wilmerding,Pennsylvania,PA
17738,748.93585107,4766,Wilmer,Texas,TX
1190,322.51674665,495,Wilmar,Arkansas,AR
13741,1027.7868594,383,Willshire,Ohio,OH
17737,999.89540201,3665,Wills Point,Texas,TX
1672,2122.9354916,6020,Willows,California,CA
13740,5576.2610784,14146,Willowick,Ohio,OH
4458,3156.2812746,8493,Willowbrook,Illinois,IL
6617,277.25486362,83,Willowbrook,Kansas,KS
4460,1344.3474177,5668,Willow Springs,Illinois,IL
10194,598.13755915,2113,Willow Springs,Missouri,MO
8945,233.70001396,400,Willow River,Minnesota,MN
17736,857.99014596,5569,Willow Park,Texas,TX
16191,649.87158242,242,Willow Lake,South Dakota,SD
4459,219.40862985,228,Willow Hill,Illinois,IL
12825,328.93130395,154,Willow City,North Dakota,ND
14343,510.53484755,137,Willow,Oklahoma,OK
13739,889.37744012,9571,Willoughby Hills,Ohio,OH
13738,2242.8617301,22988,Willoughby,Ohio,OH
8944,1408.1562041,19673,Willmar,Minnesota,MN
1671,1751.7746544,4935,Willits,California,CA
4457,1529.1513899,597,Willisville,Illinois,IL
1189,87.660573592,140,Willisville,Arkansas,AR
11916,11618.313025,7276,Williston Park,New York,NY
2445,407.31602031,2718,Williston,Florida,FL
12824,1169.5517806,27096,Williston,North Dakota,ND
16539,228.97759587,378,Williston,Tennessee,TN
15881,327.49833923,2932,Williston,South Carolina,SC
7032,418.24417768,287,Willisburg,Kentucky,KY
6616,231.72097294,38,Willis,Kansas,KS
17735,1375.1614992,6508,Willis,Texas,TX
1188,234.67113072,82,Williford,Arkansas,AR
10193,1042.2300241,337,Williamsville,Missouri,MO
4456,1182.6679137,1491,Williamsville,Illinois,IL
11915,4161.4539781,5235,Williamsville,New York,NY
15579,5358.6277895,1389,Williamstown,Pennsylvania,PA
18790,2144.7351734,2882,Williamstown,West Virginia,WV
7031,236.05801313,3944,Williamstown,Kentucky,KY
12462,1201.0851117,5273,Williamston,North Carolina,NC
8105,1614.0237223,3960,Williamston,Michigan,MI
15880,1143.3172155,4216,Williamston,South Carolina,SC
15578,3246.8136621,28348,Williamsport,Pennsylvania,PA
13737,601.06226431,1067,Williamsport,Ohio,OH
7528,2141.7685271,2106,Williamsport,Maryland,MD
5042,1420.7811293,1850,Williamsport,Indiana,IN
2980,386.195992,507,Williamson,Georgia,GA
4455,144.32629022,219,Williamson,Illinois,IL
18789,837.95364973,2744,Williamson,West Virginia,WV
5984,472.88783396,152,Williamson,Iowa,IA
4454,446.83148117,550,Williamsfield,Illinois,IL
6615,538.69516376,397,Williamsburg,Kansas,KS
1948,196.7612748,702,Williamsburg,Colorado,CO
5983,931.91021071,3149,Williamsburg,Iowa,IA
13736,1019.7510715,2559,Williamsburg,Ohio,OH
7030,1268.0177096,5281,Williamsburg,Kentucky,KY
15577,3228.8528722,1182,Williamsburg,Pennsylvania,PA
11328,853.63278146,413,Williamsburg,New Mexico,NM
18276,1666.1604292,14896,Williamsburg,Virginia,VA
5041,1276.7458041,427,Williams Creek,Indiana,IN
19378,941.57215418,2631,Williams Bay,Wisconsin,WI
8943,181.3333982,177,Williams,Minnesota,MN
15879,132.20301059,112,Williams,South Carolina,SC
1670,977.87115565,5324,Williams,California,CA
5982,375.60079242,327,Williams,Iowa,IA
696,73.604152326,3226,Williams,Arizona,AZ
5981,394.63599784,98,Willey,Iowa,IA
8942,4098.6385129,513,Willernie,Minnesota,MN
695,574.76041127,3534,Willcox,Arizona,AZ
7527,889.03634843,1011,Willards,Maryland,MD
13735,1688.0784584,6044,Willard,Ohio,OH
10192,924.32695855,5578,Willard,Missouri,MO
11327,245.11891615,243,Willard,New Mexico,NM
6614,834.15823916,91,Willard,Kansas,KS
18008,340.72394927,1914,Willard,Utah,UT
14588,2431.6235053,2243,Willamina,Oregon,OR
2979,358.11109893,1368,Willacoochee,Georgia,GA
5040,2374.4537867,452,Wilkinson,Indiana,IN
15576,6862.3192235,15448,Wilkinsburg,Pennsylvania,PA
