Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2009,1,Maine,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,121,0,0,0,0,,,,,,,,
2009,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Hospital,7,0,0,0,7,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,41,2,41,0,41,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,71,1,71,0,71,,,,,,,,
2009,2,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,25,2,25,0,25,,,,,,,,
2009,2,Iowa,Person-to-person,Norovirus unknown,,Confirmed,School/college/university,38,0,38,0,38,,,,,,,,
2009,1,Ohio,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,103,2,88,2,101,,,,,,,,
2009,2,Ohio,Person-to-person,,,,Hospital,15,0,15,0,15,,,,,,,,
2009,1,Tennessee,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,12,3,12,0,12,,,,,,,,
2009,1,Tennessee,Person-to-person,Shigella sonnei,,Confirmed,Child day care,6,1,6,0,6,,,,,,,,
2009,2,Tennessee,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,7,2,7,0,7,,,,,,,,
2009,2,Tennessee,Person-to-person,Norovirus Genogroup I,unknown,Confirmed,Restaurant,5,0,5,0,5,,,,,,,,
2009,2,Tennessee,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,84,0,84,0,84,,,,,,,,
2009,1,Ohio,Person-to-person,Norovirus unknown,,Confirmed,Hospital,18,0,0,0,18,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,84,0,25,0,25,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,6,0,6,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,41,0,26,0,26,,,,,,,,
2009,2,Wyoming,Person-to-person,Clostridium other; Norovirus Genogroup II,,Suspected; Suspected,Long-term care/nursing home/assisted living facility,8,0,8,0,8,,,,,,,,
2009,2,Arkansas,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,,
2009,1,Wyoming,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,31,0,31,0,31,,,,,,,,
2009,2,Wyoming,Person-to-person,Norovirus Genogroup II; Rotavirus,unknown; ,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,,
2009,3,Wyoming,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2009,3,Wyoming,Person-to-person,,,,Long-term care/nursing home/assisted living facility,14,0,14,0,14,,,,,,,,
2009,2,Wyoming,Person-to-person,,,,Long-term care/nursing home/assisted living facility,9,0,9,0,9,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,14,0,0,0,14,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,1,46,0,46,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,6,0,0,0,6,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,26,5,26,0,26,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,,Suspected,Hospital,17,2,17,0,17,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,32,0,29,0,32,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,25,0,0,0,25,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,20,0,0,0,20,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,120,0,0,0,120,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0,0,0,16,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,119,1,119,0,119,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,76,0,76,0,76,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,34,0,34,0,34,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,175,0,0,0,175,,,,,,,,
2009,2,Maine,Person-to-person,,,,Hospital,4,4,4,0,4,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,69,0,69,0,69,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,,
2009,2,Maine,Person-to-person,,,,School/college/university,44,0,44,0,44,,,,,,,,
2009,2,Maine,Person-to-person,,,,Hospital,12,4,12,0,12,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,0,54,0,54,,,,,,,,
2009,2,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,12,0,12,0,12,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,18,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,,
2009,2,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,13,0,13,,,,,,,,
2009,2,Maine,Person-to-person,Rotavirus,,Suspected,Long-term care/nursing home/assisted living facility,29,0,29,0,29,,,,,,,,
2009,2,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Hospital,99,43,99,0,99,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0,65,0,65,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,,
2009,3,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus unknown,,Suspected,School/college/university,31,0,31,0,31,,,,,,,,
2009,3,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,School/college/university,57,0,57,0,57,,,,,,,,
2009,1,Wisconsin,Person-to-person,,,,Hospital,10,4,10,0,10,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,58,0,58,0,58,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Hospital,16,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,9,3,9,0,9,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,9,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,25,4,25,0,25,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,25,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Restaurant,35,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,26,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,45,0,45,1,45,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Other healthcare facility,6,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,12,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,0,54,0,54,,,,,,,,
2009,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup I,unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0,65,0,65,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,21,1,21,0,21,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,61,0,61,0,61,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,30,1,30,0,30,,,,,,,,
2009,1,Wisconsin,Person-to-person,Sapovirus,,Confirmed,Long-term care/nursing home/assisted living facility,30,0,30,0,30,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup I,,Suspected,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,,
2009,1,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup I,unknown,Confirmed,Long-term care/nursing home/assisted living facility,63,0,63,0,63,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,37,2,37,2,37,,,,,,,,
2009,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,2,24,0,24,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Other healthcare facility,63,0,63,1,63,,,,,,,,
2009,3,Arkansas,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,5,46,1,46,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,39,0,39,0,39,,,,,,,,
2009,1,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,56,9,56,0,56,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,48,1,48,0,48,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,School/college/university,25,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,59,0,59,0,59,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,58,0,58,0,58,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,1,54,0,54,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,50,0,50,1,50,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,95,2,95,1,95,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,8,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,5,43,0,43,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,11,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,142,1,142,0,142,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Child day care,27,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,40,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Restaurant,16,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,114,0,114,0,114,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,64,0,64,0,64,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,,
2009,1,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,5,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,61,0,61,0,61,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Other healthcare facility,35,0,35,0,35,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Hospital,175,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,School/college/university,50,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Other healthcare facility,34,1,34,0,34,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Child day care,13,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,14,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,17,0,0,0,0,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,27,0,27,0,27,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,6,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,17,0,0,0,0,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,56,9,56,0,56,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,22,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Hospital,10,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,School/college/university,50,0,0,0,0,,,,,,,,
2009,3,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,13,1,13,0,13,,,,,,,,
2009,3,Pennsylvania,Person-to-person,,,,Long-term care/nursing home/assisted living facility,55,0,55,0,55,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus,,Suspected,"Other, specify",37,0,37,0,37,,,,,,,,
2009,2,Ohio,Person-to-person,,,,Long-term care/nursing home/assisted living facility,16,0,0,0,16,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,24,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,35,0,0,0,0,,,,,,,,
2009,3,Pennsylvania,Person-to-person,,,,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,45,3,45,0,45,,,,,,,,
2009,2,Ohio,Person-to-person,,,,Long-term care/nursing home/assisted living facility,17,0,0,0,17,,,,,,,,
2009,1,Michigan,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,50,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,35,0,0,0,0,,,,,,,,
2009,1,Michigan,Person-to-person,,,,Long-term care/nursing home/assisted living facility,30,0,0,0,0,,,,,,,,
2009,2,Arkansas,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,47,1,47,0,47,,,,,,,,
2009,3,Ohio,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Hospital,18,0,18,0,18,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,40,0,40,0,40,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,28,1,28,0,28,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,,
2009,2,Wisconsin,Person-to-person,,,,Long-term care/nursing home/assisted living facility,86,0,86,0,86,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,,Suspected,Long-term care/nursing home/assisted living facility,52,0,52,0,52,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,31,2,31,0,31,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,47,0,47,0,47,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,30,2,30,1,30,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,32,2,32,0,32,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Restaurant,6,0,6,0,6,,,,,,,,
2009,2,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,7,1,7,0,7,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,71,1,71,0,71,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,51,0,51,0,51,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,3,41,0,41,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,,
2009,1,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,2,41,0,41,,,,,,,,
2009,3,Wisconsin,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,56,3,56,0,56,,,,,,,,
2009,1,Missouri,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,91,4,91,0,91,,,,,,,,
2009,1,Missouri,Person-to-person,Norovirus Genogroup II,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,32,2,32,2,32,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Hospital,19,12,19,0,19,,,,,,,,
2009,2,Maine,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,,
2009,1,Missouri,Person-to-person,,,,Long-term care/nursing home/assisted living facility,32,2,32,0,32,,,,,,,,
